date,total_vaccinations,people_vaccinated,people_fully_vaccinated,country
2020-12-13,18967,18967,,Scotland
2020-12-20,59832,59832,,Scotland
2020-12-27,94173,94173,,Scotland
2021-01-03,115533,115489,44.0,Scotland
2021-01-10,166135,163377,2758.0,Scotland
2021-01-11,178799,175942,2857.0,Scotland
2021-01-12,194955,191965,2990.0,Scotland
2021-01-13,211397,208207,3190.0,Scotland
2021-01-14,228171,224840,3331.0,Scotland
2021-01-17,268689,264991,3698.0,Scotland
2021-01-18,288468,284582,3886.0,Scotland
2021-01-19,314079,309909,4170.0,Scotland
2021-01-20,339337,334871,4466.0,Scotland
2021-01-21,363143,358454,4689.0,Scotland
2021-01-22,385855,380667,5188.0,Scotland
2021-01-23,409421,404038,5383.0,Scotland
2021-01-24,420940,415402,5538.0,Scotland
2021-01-25,443960,437900,6060.0,Scotland
2021-01-26,468688,462092,6596.0,Scotland
2021-01-27,498441,491658,6783.0,Scotland
2021-01-28,522950,515855,7095.0,Scotland
2021-01-29,551008,543370,7638.0,Scotland
2021-01-30,574063,566269,7794.0,Scotland
2021-01-31,583746,575897,7849.0,Scotland
